Tasks,DE_Fitness,PSO_Fitness,QueueWait,ResponseTime,EnergyPerTask,OffloadPercentage,Overloads,BestAlgorithm
5000.0,0.25,-0.0611,0.0,0.0,0.1111111111111111,0.4465517241379309,0.0,PSO
10000.0,0.3962,0.2213,0.05330123488630898,0.04773662621850817,0.5555555555555556,0.17731958762886624,0.05221373039926209,PSO
15000.0,0.4299,0.3712,0.10488107894452155,0.11103627972471268,0.8842105263157893,0.008620689655172535,0.10335202055594488,PSO
20000.0,0.4744,0.2495,0.17237754483345727,0.17045341047548632,0.4444444444444444,0.7216494845360826,0.15552114903149294,PSO
25000.0,0.4974,0.3547,0.21241816956859924,0.2239162417924001,0.6666666666666666,0.6845360824742269,0.20984319409671895,PSO
30000.0,0.5311,0.3835,0.24822217058123408,0.2823767237269652,0.6666666666666666,1.0,0.2644507401062942,PSO
35000.0,0.567,0.4562,0.3174843383601526,0.34085249749930324,0.726315789473684,0.841237113402062,0.3240984758641894,PSO
40000.0,0.5944,0.565,0.3796665708619518,0.39511189454748674,0.6736842105263159,0.3017241379310344,0.35802916501954585,PSO
45000.0,0.5871,0.3436,0.42931109337931955,0.4065066662788457,0.3333333333333333,1.0,0.41947775288795186,PSO
50000.0,0.8099,0.457,0.507825985487409,0.4660659148785732,0.5368421052631579,0.7982758620689653,0.46748583476083805,PSO
55000.0,0.8212,0.4205,0.5199140652703046,0.5645321970178991,0.3333333333333333,0.8989690721649488,0.5217639566038564,PSO
60000.0,0.8086,0.315,0.6109509761638532,0.5584441207375072,0.0,0.5931034482758619,0.5615474151183731,PSO
65000.0,0.8393,0.3479,0.6135524001512102,0.6397685735410144,0.0,0.5637931034482757,0.6335595379277024,PSO
70000.0,0.8178,0.6874,0.67326779937233,0.6883044388890042,0.34736842105263155,0.6927835051546395,0.6784271094127465,PSO
75000.0,0.8359,0.7603,0.7048022472448962,0.7474805360569771,0.2947368421052631,0.868965517241379,0.7486451763606634,PSO
80000.0,0.8221,0.7003,0.7625255272049477,0.7705107922947103,0.2222222222222222,0.736206896551724,0.7894650782527447,PSO
85000.0,0.8048,0.868,0.83005448050584,0.8725960001257567,0.2,0.6551724137931035,0.8135239601177142,DE
90000.0,0.7819,0.9499,0.9301572578591083,0.9425818225603583,0.13684210526315785,0.8948453608247423,0.8607743664075197,DE
95000.0,0.7696,0.9534,1.0,0.9253131672133587,0.06315789473684215,0.6350515463917527,0.9254842535248385,DE
100000.0,0.7403,1.0168,0.935926535984671,1.0,0.0,0.5917525773195879,1.0,DE
